# Napthelene Calculated Energies, (nx, ny, energy)
1.000000000000000000e+00, 1.000000000000000000e+00, 6.428378453180833674e+00
2.000000000000000000e+00, 1.000000000000000000e+00, 1.132460452891960401e+01
3.000000000000000000e+00, 1.000000000000000000e+00, 1.948498132181755693e+01
1.000000000000000000e+00, 2.000000000000000000e+00, 2.081728773698456791e+01
2.000000000000000000e+00, 2.000000000000000000e+00, 2.571351381272333469e+01
4.000000000000000000e+00, 1.000000000000000000e+00, 3.090950883187468179e+01
3.000000000000000000e+00, 2.000000000000000000e+00, 3.387389060562128407e+01
1.000000000000000000e+00, 3.000000000000000000e+00, 4.479880320999078691e+01
4.000000000000000000e+00, 2.000000000000000000e+00, 4.529841811567841603e+01
5.000000000000000000e+00, 1.000000000000000000e+00, 4.559818705909099634e+01
2.000000000000000000e+00, 3.000000000000000000e+00, 4.969502928572956080e+01
3.000000000000000000e+00, 3.000000000000000000e+00, 5.785540607862750306e+01
5.000000000000000000e+00, 2.000000000000000000e+00, 5.998709634289472348e+01
6.000000000000000000e+00, 1.000000000000000000e+00, 6.355101600346647928e+01
4.000000000000000000e+00, 3.000000000000000000e+00, 6.927993358868464213e+01
6.000000000000000000e+00, 2.000000000000000000e+00, 7.793992528727022773e+01
5.000000000000000000e+00, 3.000000000000000000e+00, 8.396861181590094247e+01
7.000000000000000000e+00, 1.000000000000000000e+00, 8.476799566500116612e+01
7.000000000000000000e+00, 2.000000000000000000e+00, 9.915690494880489325e+01
6.000000000000000000e+00, 3.000000000000000000e+00, 1.019214407602764396e+02
8.000000000000000000e+00, 1.000000000000000000e+00, 1.092491260436950000e+02
7.000000000000000000e+00, 3.000000000000000000e+00, 1.231384204218111051e+02
8.000000000000000000e+00, 2.000000000000000000e+00, 1.236380353274987272e+02
8.000000000000000000e+00, 3.000000000000000000e+00, 1.476195508005049533e+02
