# Napthelene Calculated Energies, (nx, ny, energy)
1.000000000000000000e+00, 1.000000000000000000e+00, 6.428378453180832786e+00
2.000000000000000000e+00, 1.000000000000000000e+00, 1.132460452891960223e+01
3.000000000000000000e+00, 1.000000000000000000e+00, 1.948498132181755338e+01
1.000000000000000000e+00, 2.000000000000000000e+00, 2.081728773698456436e+01
2.000000000000000000e+00, 2.000000000000000000e+00, 2.571351381272333114e+01
4.000000000000000000e+00, 1.000000000000000000e+00, 3.090950883187467824e+01
3.000000000000000000e+00, 2.000000000000000000e+00, 3.387389060562127696e+01
1.000000000000000000e+00, 3.000000000000000000e+00, 4.479880320999077981e+01
4.000000000000000000e+00, 2.000000000000000000e+00, 4.529841811567840892e+01
5.000000000000000000e+00, 1.000000000000000000e+00, 4.559818705909098924e+01
2.000000000000000000e+00, 3.000000000000000000e+00, 4.969502928572955369e+01
3.000000000000000000e+00, 3.000000000000000000e+00, 5.785540607862749596e+01
5.000000000000000000e+00, 2.000000000000000000e+00, 5.998709634289472348e+01
6.000000000000000000e+00, 1.000000000000000000e+00, 6.355101600346647928e+01
4.000000000000000000e+00, 3.000000000000000000e+00, 6.927993358868462792e+01
6.000000000000000000e+00, 2.000000000000000000e+00, 7.793992528727021352e+01
5.000000000000000000e+00, 3.000000000000000000e+00, 8.396861181590092826e+01
7.000000000000000000e+00, 1.000000000000000000e+00, 8.476799566500115191e+01
7.000000000000000000e+00, 2.000000000000000000e+00, 9.915690494880489325e+01
6.000000000000000000e+00, 3.000000000000000000e+00, 1.019214407602764254e+02
8.000000000000000000e+00, 1.000000000000000000e+00, 1.092491260436949858e+02
7.000000000000000000e+00, 3.000000000000000000e+00, 1.231384204218110909e+02
8.000000000000000000e+00, 2.000000000000000000e+00, 1.236380353274987129e+02
8.000000000000000000e+00, 3.000000000000000000e+00, 1.476195508005049248e+02
