# Anthracene Calculated Energies, (nx, ny, energy)
1.000000000000000000e+00, 1.000000000000000000e+00, 5.521669920636617768e+00
2.000000000000000000e+00, 1.000000000000000000e+00, 7.697770398742737719e+00
3.000000000000000000e+00, 1.000000000000000000e+00, 1.132460452891960401e+01
4.000000000000000000e+00, 1.000000000000000000e+00, 1.640217231116721663e+01
1.000000000000000000e+00, 2.000000000000000000e+00, 1.991057920444034934e+01
2.000000000000000000e+00, 2.000000000000000000e+00, 2.208667968254647107e+01
5.000000000000000000e+00, 1.000000000000000000e+00, 2.293047374548557826e+01
3.000000000000000000e+00, 2.000000000000000000e+00, 2.571351381272333825e+01
4.000000000000000000e+00, 2.000000000000000000e+00, 3.079108159497095087e+01
6.000000000000000000e+00, 1.000000000000000000e+00, 3.090950883187468534e+01
5.000000000000000000e+00, 2.000000000000000000e+00, 3.731938302928931250e+01
7.000000000000000000e+00, 1.000000000000000000e+00, 4.033927757033453787e+01
1.000000000000000000e+00, 3.000000000000000000e+00, 4.389209467744657189e+01
6.000000000000000000e+00, 2.000000000000000000e+00, 4.529841811567841603e+01
2.000000000000000000e+00, 3.000000000000000000e+00, 4.606819515555268651e+01
3.000000000000000000e+00, 3.000000000000000000e+00, 4.969502928572956080e+01
8.000000000000000000e+00, 1.000000000000000000e+00, 5.121977996086513940e+01
7.000000000000000000e+00, 2.000000000000000000e+00, 5.472818685413827211e+01
4.000000000000000000e+00, 3.000000000000000000e+00, 5.477259706797717342e+01
5.000000000000000000e+00, 3.000000000000000000e+00, 6.130089850229553150e+01
9.000000000000000000e+00, 1.000000000000000000e+00, 6.355101600346647928e+01
8.000000000000000000e+00, 2.000000000000000000e+00, 6.560868924466886654e+01
6.000000000000000000e+00, 3.000000000000000000e+00, 6.927993358868464213e+01
1.000000000000000000e+01, 1.000000000000000000e+00, 7.733298569813858592e+01
9.000000000000000000e+00, 2.000000000000000000e+00, 7.793992528727022773e+01
7.000000000000000000e+00, 3.000000000000000000e+00, 7.870970232714449821e+01
8.000000000000000000e+00, 3.000000000000000000e+00, 8.959020471767509264e+01
1.000000000000000000e+01, 2.000000000000000000e+00, 9.172189498194231305e+01
9.000000000000000000e+00, 3.000000000000000000e+00, 1.019214407602764396e+02
1.000000000000000000e+01, 3.000000000000000000e+00, 1.157034104549485534e+02
